DATAFLOW;AREA_REF;Time_period;"""INDICADOR""";OBS_VALUE;FREQ;UNIT_OF_MEASURE;FUENTE;OBS_STATUS;DECIMALS
CL01:DF_TRLMULT(1.0);_T;2022-M06;TRL;35.35555124;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2017-M11;TSL;32.43814999;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2017-M12;TSL;33.08438485;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M01;TSL;33.31140222;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M02;TSL;33.20589441;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M03;TSL;33.25242916;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M04;TSL;33.30661145;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M05;TSL;33.45934057;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M06;TSL;33.45189654;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M07;TSL;33.2021423;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M08;TSL;33.88827178;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M09;TSL;33.75358082;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M10;TSL;34.04940954;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M11;TSL;34.90589841;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M12;TSL;35.33925738;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M01;TSL;34.78950535;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M02;TSL;34.65457234;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M03;TSL;34.01432131;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M04;TSL;33.24321328;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M05;TSL;32.85151102;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M06;TSL;32.72566278;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M07;TSL;32.72161097;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M08;TSL;32.81427871;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M09;TSL;32.29875719;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M10;TSL;32.79517725;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M11;TSL;33.35027522;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M12;TSL;33.86704233;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M01;TSL;33.73621933;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M02;TSL;33.67406652;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M03;TSL;32.96904173;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M04;TSL;32.85084435;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M05;TSL;32.50553572;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M06;TSL;32.16883542;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M07;TSL;31.75786728;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M08;TSL;31.57750771;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M09;TSL;31.07446288;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M10;TSL;31.40856929;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M11;TSL;31.89451272;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M12;TSL;32.23609363;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M01;TSL;31.98988111;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M02;TSL;31.09750392;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M03;TSL;30.83655209;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M04;TSL;28.49523656;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M05;TSL;27.40445546;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M06;TSL;27.73661073;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M07;TSL;28.29193547;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M08;TSL;28.88363957;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M09;TSL;29.37872707;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M10;TSL;30.45476235;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M11;TSL;31.90087533;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M12;TSL;32.50574759;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2022-M01;TSL;32.82731587;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2022-M02;TSL;33.08474297;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2022-M03;TSL;33.51562079;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2022-M04;TSL;33.99035042;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2022-M05;TSL;34.66132897;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2022-M06;TSL;36.07151761;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2017-M11;TEL;44.26678514;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2017-M12;TEL;41.46130165;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M01;TEL;40.2571731;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M02;TEL;39.74252637;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M03;TEL;39.2050898;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M04;TEL;38.18226074;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M05;TEL;37.45213568;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M06;TEL;37.2699538;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M07;TEL;37.31817438;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M08;TEL;37.16101294;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M09;TEL;36.59232961;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M10;TEL;37.40682944;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M11;TEL;38.02167267;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2018-M12;TEL;38.28986258;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M01;TEL;38.03096681;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M02;TEL;37.60434355;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M03;TEL;36.58224863;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M04;TEL;36.06173141;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M05;TEL;35.6748489;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M06;TEL;35.36212597;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M07;TEL;35.65338405;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M08;TEL;35.42603104;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M09;TEL;34.76265105;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M10;TEL;34.60255812;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M11;TEL;34.71632528;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2019-M12;TEL;34.68359162;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M01;TEL;34.25172388;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M02;TEL;32.97664749;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M03;TEL;32.07326288;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M04;TEL;28.5232462;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M05;TEL;26.34216278;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M06;TEL;26.46698623;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M07;TEL;25.81416303;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M08;TEL;25.50031042;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M09;TEL;25.96571504;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M10;TEL;27.06725939;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M11;TEL;28.93907995;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2020-M12;TEL;29.6645811;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M01;TEL;29.68010891;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M02;TEL;30.12960996;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M03;TEL;30.51099908;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M04;TEL;31.88264264;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M05;TEL;33.17241846;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M06;TEL;33.4299092;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M07;TEL;34.71346527;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M08;TEL;36.65292;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M09;TEL;37.45055059;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M10;TEL;37.58934083;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M11;TEL;37.89284541;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2021-M12;TEL;38.46853407;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2022-M01;TEL;38.41948336;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2022-M02;TEL;37.53135735;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2022-M03;TEL;37.1178925;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2022-M04;TEL;36.24441099;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2022-M05;TEL;36.00904797;M;Tasa;RRAA Suseso;;1
CL01:DF_TRLMULT(1.0);_T;2022-M06;TEL;34.63958486;M;Tasa;RRAA Suseso;;1
